mosquito_presence,mine_cover
1,0
1,0
1,0
1,0
1,0
1,0.025
1,0.4125
1,0.1125
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0.975
0,0.975
0,0.975
0,0.975
0,0.9875
0,0.9625
0,0.95
1,0.3875
0,0.9625
0,0.95
0,0.975
0,0.975
1,0.975
1,0.975
0,0.975
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0.25
1,0
1,0.325
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0.3125
1,0
0,0.2625
0,0.9875
0,0.8
0,0.025
1,0.3
1,0.6125
0,0.0625
1,0.975
1,0.1
1,0.6625
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0.1125
1,0.1625
1,0.4875
1,0.9
1,0.7875
1,0.2375
1,0.5
0,0.025
1,0
0,0.75
0,0.3375
0,0.825
0,0.3
0,0.925
0,0.3
0,0.95
1,0.9125
1,0.975
0,0.9125
0,0.8625
1,0.825
1,0
1,0
1,0
1,0.0125
1,0.0125
1,0.7
1,0.9875
1,0.3875
1,0.4375
1,0
